Chapter,Section No.,Section,Sub-Section,Summary,Action Item,Deadline,Role Assigned To
,47,,REs shall provide clear communication when new security features are introduced.,Effective communication is necessary for customer awareness of new features.,Develop communication strategies for informing customers about new security features.,Within 3 months
,48,,REs may create public awareness on threats and precautionary measures for digital payments.,Public awareness campaigns enhance customer security.,Launch public awareness campaigns on digital payment security threats.,Ongoing
,49,,REs shall provide digital payment products only at the customer's request.,Customer consent is crucial for providing digital payment services.,Establish procedures for obtaining customer consent for digital payment products.,Ongoing
,50,,REs should provide mechanisms for customers to report fraudulent transactions.,Quick reporting mechanisms enhance fraud detection and response.,Implement reporting mechanisms for customers to flag fraudulent transactions.,Within 3 months
Chapter III - Internet Banking Security Controls,51,,REs shall implement additional authentication levels for internet banking websites.,Enhanced authentication is necessary to protect against brute force and DoS attacks.,Implement additional authentication measures for internet banking websites.,Within 3 months
,52,,Online sessions shall be terminated after a period of inactivity.,Session timeouts enhance security by preventing unauthorized access.,Establish session timeout protocols for online banking.,Within 3 months
,53,,Secure delivery of passwords for login purposes shall be ensured.,Secure password delivery is essential for protecting user accounts.,Implement secure password delivery mechanisms for user logins.,Within 3 months
,54,,Authentication procedures should be uniform across external access points.,Consistency in authentication enhances user experience and security.,Standardize authentication procedures for all access points to internet banking.,Within 3 months
Chapter IV - Mobile Payments Application Security Controls,55,,Customers shall be directed to reinstall the application if anomalies are detected.,Prompt action is necessary to maintain application security.,Develop procedures for directing users to reinstall applications upon detection of anomalies.,Ongoing
,56,,Specific controls for mobile applications include device policy enforcement and secure downloads.,Implementing specific controls enhances mobile application security.,Establish and enforce device policy controls for mobile applications.,Within 3 months
,57,,Validation of security and compatibility conditions for mobile applications should be performed.,Ensuring compatibility enhances security and user experience.,Conduct validation checks for security and compatibility of mobile applications.,Within 3 months
,58,,REs may explore disallowing installation of applications on rooted/jailbroken devices.,Preventing installation on compromised devices enhances security.,Investigate and implement measures to prevent installation on rooted or jailbroken devices.,Within 3 months
,59,,Checksum of the current active version of the application shall be hosted publicly for user verification.,Public checksums enhance user trust and security.,Publish checksums for current application versions for user verification.,Within 3 months
,60,,REs shall ensure device binding of mobile applications.,Device binding enhances security by linking applications to specific devices.,Implement device binding measures for all mobile applications.,Within 3 months
,61,,Alternatives to SMS-based OTP authentication mechanisms may be considered.,Exploring alternatives enhances security and user experience.,Evaluate and implement alternative authentication methods for mobile applications.,Within 3 months
,62,,Re-authentication shall be required after periods of inactivity in mobile applications.,Re-authentication enhances security for mobile banking.,Establish re-authentication protocols for mobile applications after inactivity.,Within 3 months
,63,,Mobile applications should not store sensitive authentication information.,Protecting sensitive information is crucial for user security.,Implement measures to prevent storage of sensitive information in mobile applications.,Within 3 months
,64,,Sensitive information written to temporary files must be encrypted or masked.,Protecting sensitive data in temporary files is essential for security.,Ensure encryption or masking of sensitive information in temporary files.,Within 3 months
,65,,REs may consider designing anti-malware capabilities into their mobile applications.,Anti-malware capabilities enhance application security.,Explore and implement anti-malware features in mobile applications.,Within 3 months
,66,,Avoid using raw SQL queries in mobile applications to prevent SQL injection vulnerabilities.,Preventing SQL injection is critical for application security.,Review and update coding practices to eliminate raw SQL queries in mobile applications.,Within 3 months
Chapter V - Card Payments Security,67,,REs shall follow various payment card standards for comprehensive payment card security.,Adhering to payment card standards is essential for security.,Ensure compliance with all relevant payment card security standards.,Ongoing
,68,,Terminals for capturing card details must be validated against PCI-P2PE program.,Validation of terminals enhances security for card transactions.,Implement validation processes for all card payment terminals.,Within 3 months
,69,,Acquirers shall secure their card payment infrastructure.,Securing card payment infrastructure is crucial for preventing fraud.,Establish security measures for card payment infrastructure.,Within 3 months
,70,,"Security controls for HSM must include logging, access control, and secure key management.",Robust security controls for HSM are essential for protecting sensitive data.,Implement comprehensive security controls for HSMs.,Within 3 months
,71,,"REs shall implement security measures for ATMs, including disabling USB ports and applying patches.",Securing ATMs is critical for preventing unauthorized access and fraud.,Review and enhance security measures for all ATMs.,Within 3 months
,72,,REs shall monitor card transactions and set transaction limits based on risk appetite.,Monitoring and setting limits enhance security for card transactions.,Establish monitoring systems and transaction limits for card transactions.,Ongoing
,73,,REs using card data scanning tools must adhere to safety measures during audits.,Adhering to safety measures during audits is essential for protecting sensitive data.,Implement safety measures for card data scanning during audits.,Ongoing
