Document_ID,Chapter,Section,Sub Section,Description,Compliance_Requirements,Due date,Applicability,Role Assigned To,Summary,Action Item
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Security Objectives and Performance Criteria,"As part of this process, the REs shall define product-level limits on the level of acceptable security risk, document specific security objectives and performance criteria including quantitative benchmarks for evaluating the success of the security built into the digital payment product or service, periodically compare actual results with projections and qualitative benchmarks to detect and address adverse trends or concerns in a timely manner and modify the business plan/strategy involving the product, when appropriate, based on the security performance of the product or service.","As part of this process, the REs shall define product-level limits on the level of acceptable security risk, document specific security objectives and performance criteria including quantitative benchmarks for evaluating the success of the security built into the digital payment product or service, periodically compare actual results with projections and qualitative benchmarks to detect and address adverse trends or concerns in a timely manner and modify the business plan/strategy involving the product, when appropriate, based on the security performance of the product or service.",Compliance required,2024-03-31,Regulated Entities,Compliance Team,"REs must establish and document security risk limits and performance criteria for digital payment products, regularly assess them, and adjust strategies as necessary.",Develop and document security objectives and benchmarks for all digital payment products by Q1 2024.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Trained Resources,"REs shall have trained resources with necessary expertise to manage the digital payment infrastructure. Wherever the REs are dependent on third party service providers, adequate oversight and controls for monitoring the activities of the third party personnel, in line with RBI guidelines on outsourcing, shall be put in place.","REs shall have trained resources with necessary expertise to manage the digital payment infrastructure. Wherever the REs are dependent on third party service providers, adequate oversight and controls for monitoring the activities of the third party personnel, in line with RBI guidelines on outsourcing, shall be put in place.",Compliance required,N/A,Regulated Entities,Compliance Team,REs must ensure trained personnel manage digital payment systems and maintain oversight of third-party service providers per RBI outsourcing guidelines.,Establish oversight and control mechanisms for third-party providers by training relevant resources.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Risk Assessments,"REs shall conduct risk assessments with regard to the safety and security of digital payment products and associated processes and services as well as suitability and appropriateness of the same vis-à-vis the target users, both prior to establishing the service(s) and regularly thereafter. The risk assessment should take into account –","REs shall conduct risk assessments with regard to the safety and security of digital payment products and associated processes and services as well as suitability and appropriateness of the same vis-à-vis the target users, both prior to establishing the service(s) and regularly thereafter. The risk assessment should take into account –",Compliance required,N/A,Regulated Entities,Compliance Team,"REs must conduct regular risk assessments for digital payment products regarding safety, security, and user suitability.",Initiate and document risk assessments for all digital payment services before launch and schedule follow-up assessments regularly.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Risk Assessments,a) The technology stack and solutions used;,a) The technology stack and solutions used;,Compliance required,N/A,Regulated Entities,Compliance Team,Organizations must outline their technology stack and solutions utilized.,Document and submit a report detailing the technology stack and solutions employed.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Risk Assessments,b) Known vulnerabilities at each of the touchpoints of the digital product and the remedial action taken by the entity;,b) Known vulnerabilities at each of the touchpoints of the digital product and the remedial action taken by the entity;,Compliance required,N/A,Regulated Entities,Compliance Team,Entities must identify known vulnerabilities in their digital products and detail remedial actions taken.,Conduct a vulnerability assessment and document all findings along with remedial actions.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Risk Assessments,c) Dependence on third party service providers and oversight over such providers;,c) Dependence on third party service providers and oversight over such providers;,Compliance required,N/A,Regulated Entities,Compliance Team,Entities must ensure proper oversight of third-party service providers to manage associated risks.,Establish a risk assessment and monitoring process for all third-party service providers.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Risk Assessments,"d) Risk arising out of integration of digital payment platform with other systems both internal and external to the RE, including core systems and systems of payment systems operators, etc.;","d) Risk arising out of integration of digital payment platform with other systems both internal and external to the RE, including core systems and systems of payment systems operators, etc.;",Compliance required,N/A,Regulated Entities,Compliance Team,Organizations must address risks associated with the integration of digital payment platforms with internal and external systems.,Conduct a comprehensive risk assessment of all system integrations involving digital payment platforms.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Risk Assessments,"e) The customer experience, convenience and technology adoption required to use such products;","e) The customer experience, convenience and technology adoption required to use such products;",Compliance required,2024-06-30,Regulated Entities,Compliance Team,Companies must enhance customer experience and technology adoption for product usage.,Assess and improve technology usability and customer convenience by Q2 2024.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Risk Assessments,f) Reconciliation process;,f) Reconciliation process;,Compliance required,N/A,Regulated Entities,Compliance Team,A reconciliation process must be established to ensure accurate financial reporting.,Develop and implement a reconciliation process for financial records.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Risk Assessments,g) Interoperability aspects;,g) Interoperability aspects;,Compliance required,N/A,Regulated Entities,Compliance Team,Entities must address interoperability requirements to ensure compliance with regulatory standards.,Assess current systems for interoperability and implement necessary changes.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Risk Assessments,"h) Data storage, security and privacy protection as per extant laws/instructions;","h) Data storage, security and privacy protection as per extant laws/instructions;",Compliance required,N/A,Regulated Entities,Compliance Team,"Entities are required to ensure data storage, security, and privacy protection in compliance with relevant laws and regulations.",Conduct a compliance audit to verify adherence to applicable data protection laws.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Risk Assessments,i) Operational risk including fraud risk;,i) Operational risk including fraud risk;,Compliance required,2024-03-31,Regulated Entities,Compliance Team,"Organizations must identify and manage operational risks, including fraud risks, effectively.",Conduct a thorough risk assessment to identify operational and fraud risks by Q1 2024.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Risk Assessments,j) Business continuity and service availability;,j) Business continuity and service availability;,Compliance required,N/A,Regulated Entities,Compliance Team,Organizations must establish and maintain business continuity plans to ensure service availability.,Develop and implement a business continuity plan by assessing potential risks and necessary resources.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Risk Assessments,k) Compliance with extant cyber security requirements; and,k) Compliance with extant cyber security requirements; and,Compliance required,N/A,Regulated Entities,Compliance Team,Organizations must adhere to current cyber security requirements.,Conduct a compliance audit to ensure adherence to existing cyber security regulations.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Risk Assessments,l) Compatibility aspects.,l) Compatibility aspects.,Compliance required,N/A,Regulated Entities,Compliance Team,Organizations need to ensure system compatibility to meet regulatory standards.,Conduct a compatibility assessment of all systems and make necessary updates.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Technology Platform Risks,"REs shall evaluate the risks associated with the chosen technology platforms, application architecture, both on the server and client side. Further, REs should undertake a review of the risk scenarios and existing security measures based on incidents affecting their services, before any major change to the infrastructure or procedures is made or, when, any new threats are identified through risk monitoring activities. Further, unused or unwanted features of the platform should be closely controlled to minimise risk.","REs shall evaluate the risks associated with the chosen technology platforms, application architecture, both on the server and client side. Further, REs should undertake a review of the risk scenarios and existing security measures based on incidents affecting their services, before any major change to the infrastructure or procedures is made or, when, any new threats are identified through risk monitoring activities. Further, unused or unwanted features of the platform should be closely controlled to minimise risk.",Compliance required,N/A,Regulated Entities,Compliance Team,REs must assess technology-related risks and review existing security measures before making significant changes or when new threats arise.,Conduct a risk evaluation and review security measures before any major changes to infrastructure or procedures.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Internal Control Systems,"REs shall develop sound internal control systems and take into account the operational risk before offering digital payment products and related services. This would include ensuring that adequate safeguards are in place to protect integrity of data, customer confidentiality and security of data.","REs shall develop sound internal control systems and take into account the operational risk before offering digital payment products and related services. This would include ensuring that adequate safeguards are in place to protect integrity of data, customer confidentiality and security of data.",Compliance required,N/A,Regulated Entities,Compliance Team,REs must establish robust internal controls addressing operational risks for digital payment products.,Develop and implement internal control systems focused on data integrity and security before launching digital payment services.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Robust and Scalable Architecture,"REs shall ensure that the digital payment architecture is robust and scalable, commensurate with the transaction volumes and customer growth. The IT strategy of the RE shall ensure that a robust capacity management plan is in place to meet evolving demand. REs shall also put in place review mechanism of IT/IT Security architecture and technology platform overhaul on a","REs shall ensure that the digital payment architecture is robust and scalable, commensurate with the transaction volumes and customer growth. The IT strategy of the RE shall ensure that a robust capacity management plan is in place to meet evolving demand. REs shall also put in place review mechanism of IT/IT Security architecture and technology platform overhaul on a",Compliance required,N/A,Regulated Entities,Compliance Team,REs must establish a robust and scalable digital payment architecture with a capacity management plan and IT security review mechanisms.,Develop and implement a comprehensive capacity management plan and conduct regular reviews of IT security architecture.
