Document ID,Chapter,Section No.,Section,Sub-Section,Summary,Action Item,Due date,Periodicity,Marked as Completed,Work Status,Role Assigned To
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,III - Internet Banking Security Controls,1,,"- In addition to the controls prescribed in Chapter II, the following instructions are applicable to REs offering/ intending to offer internet banking facility to their customers: - Internet banking websites are vulnerable to authentication related brute force attacks/ application layer Denial of Service (DoS) attacks. Based on the RE’s individual risk/ vulnerability assessment on authentication-related attacks such as brute force/ DoS attacks, REs shall implement additional levels of authentication to internet banking websites such as adaptive authentication, strong CAPTCHA (preferably with anti-bot features) with server-side validation, etc., in order to plug this vulnerability and prevent its exploitation. Appropriate measures shall be taken to prevent DNS cache poisoning attacks and for secure handling of cookies. Virtual keyboard option should be made available.",REs must enhance security for internet banking by implementing adaptive authentication and additional protections against various attacks based on their risk assessments.,"Conduct a risk assessment and implement recommended security measures, including adaptive authentication and strong CAPTCHA, by 2025-11-25.",2025-11-25,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,IV - Mobile Payments Application Security Controls,1,,"- In addition to the controls prescribed in Chapter II, the following instructions are applicable to the REs offering/ intending to offer mobile banking / mobile payments facility to their customers through mobile application: - On detection of any anomalies or exceptions for which the mobile application was not programmed, the customer shall be directed to remove the current copy/ instance of the application and proceed with installation of a new copy/ instance of the application. REs shall be able to verify the version of the mobile application before the transactions are enabled.","REs must direct customers to uninstall and reinstall the mobile application upon detecting anomalies, verifying the app version before enabling transactions.",Establish an anomaly detection process for mobile applications to ensure compliance with uninstallation and reinstallation procedures.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,V - Card Payments Security,1,,"- In addition to the controls prescribed in Chapter II, the following instructions are applicable to the REs offering/ intending to issue cards (credit/ debit/ prepaid) (physical or virtual) to their customers: - REs shall follow various payment card standards (over and above PCI-DSS and PA-DSS) as per Payment Card Industry (PCI) prescriptions for comprehensive payment card security as per applicability/ readiness of updated versions of the standards such as - a) PCI-PIN (secure management, processing, and transmission of personal identification number (PIN) data); - b) PCI-PTS (security approval framework addresses the logical and/ or physical protection of cardholder and other sensitive data at point of interaction (POI) devices and hardware security modules (HSMs); - c) PCI-HSM (securing cardholder-authentication applications and processes including key generation, key injection, PIN verification, secure encryption algorithm, etc.); - d) PCI-P2PE (security standard that requires payment card information to be encrypted instantly upon its initial swipe and then securely transferred directly to the payment processor).",REs must adhere to updated PCI standards for comprehensive payment card security when issuing cards.,"Implement necessary updates to align with PCI-PIN, PCI-PTS, PCI-HSM, and PCI-P2PE standards by assessing current systems.",N/A,ongoing,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,1,Access Control List,,Access Control List management is essential for ensuring system security and user access management.,Establish and maintain an Access Control List to define user permissions and access levels.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,2,Application Security Life Cycle,,The section outlines key components of the Application Security Life Cycle for effective risk management.,Develop a comprehensive approach to integrate security throughout the application development process.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,3,Automated Teller Machine,,The section fails to provide details on Automated Teller Machines.,Review the content for completeness and include necessary information.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,4,Bank Identification Number,,The section provides guidelines on Bank Identification Numbers (BINs) for transactions.,Review and ensure all transaction processes align with BIN regulations.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,5,Basic Input/Output System,,This section addresses the fundamental concepts of Basic Input/Output Systems (BIOS).,Review BIOS specifications relevant to organizational systems.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,6,Completely Automated Public Turing test to tell Computers and Humans Apart,,The section defines the CAPTCHA mechanism intended to differentiate between bots and humans.,Implement a CAPTCHA solution on user-facing platforms.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,7,Card Verification Value,,The section addresses the definition and importance of the Card Verification Value (CVV) in payment transactions.,Educate staff on the significance of CVV in transaction security protocols.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,8,Distributed Denial of Service,,This section outlines the implications and responses related to Distributed Denial of Service attacks.,Assess current defenses against DDoS attacks and enhance response protocols.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,9,Domain Name Server,,No specific details provided on Domain Name Server requirements.,N/A,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,10,Department of Regulation,,No specific requirements or actions are outlined in this section.,N/A,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,11,Department of Supervision,,No specific requirements outlined in this section.,Review relevant regulations for applicable guidelines.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,12,Department of Payment and Settlement Systems,,The section outlines relevant acronyms related to the Department of Payment and Settlement Systems.,Ensure all staff are familiar with the acronyms listed in this section.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,13,Derived Unique Key per Transaction,,The section outlines the necessity of assigning a Derived Unique Key per transaction for compliance.,Implement a system to generate and attach a Derived Unique Key to each transaction.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,14,"Europay, Mastercard, and Visa",,"This section involves payment networks associated with Europay, Mastercard, and Visa.",Ensure compliance with standards set by these payment networks.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,15,"Functionality, Security and Performance",,"This section defines key acronyms relevant to functionality, security, and performance metrics.",Familiarize staff with the acronyms listed for proper documentation and communication.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,16,Hardware Security Module,,No specific requirements are detailed in the subsection on Hardware Security Module.,Review relevant hardware security standards and practices.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,17,HyperText Markup Language,,This section provides an overview of HyperText Markup Language (HTML) terminology.,Familiarize the team with HTML terminology for better compliance with web standards.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,18,Internet Protocol,,Overview of internet protocol standards and terminology.,Review and familiarize with defined acronyms and terms.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,19,Information Technology,,N/A,N/A,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,20,Interactive Voice Response,,No specific content is provided within the sub-section.,Review relevant requirements in the section.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,21,Local Master Key,,The section outlines the definition and importance of a Local Master Key in the context of data security.,Review existing key management practices to ensure compliance with data security standards.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,22,Merchant Category Code,,No information is provided in the Merchant Category Code subsection.,Review related documentation for Merchant Category Codes.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,23,Man-in-The Browser attack,,Guidance on the Man-in-The Browser attack is provided.,Review security protocols related to browser vulnerabilities.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,24,Man-In-the-Middle attack,,This section defines what a Man-In-the-Middle attack entails.,Review network security protocols to mitigate such attacks.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,25,National Institute of Standards and Technology,,This section outlines acronyms related to the National Institute of Standards and Technology.,Familiarize and disseminate the list of acronyms among relevant personnel.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,26,Original Equipment Manufacturer,,This section outlines the definition and role of Original Equipment Manufacturers (OEMs).,Review and ensure understanding of OEM responsibilities in compliance contexts.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,27,One Time Password,,This section outlines the concept and importance of one-time passwords (OTPs) for secure access.,Implement OTP authentication methods in all user login processes.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,28,Open Web Application Security Project,,This section provides information about the Open Web Application Security Project (OWASP).,Familiarize with OWASP guidelines and incorporate relevant standards into security procedures.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,29,Payment Card Industry,,"The section provides contextual information on payment-related terminology, aiding understanding of compliance obligations.",Familiarize staff with the terminology related to payment card industry compliance.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,30,Payment Card Industry -Data Security Standard,,Organizations must adhere to the Payment Card Industry Data Security Standards (PCI DSS) for handling cardholder data.,Review and implement PCI DSS compliance measures across all relevant systems.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,31,Payment Card Industry -Hardware Security Module,,No specific requirements are provided regarding Hardware Security Modules for payment card transactions.,Refer to PCI standards for general compliance and security measures.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,32,Payment Card Industry -Point to Point Encryption,,This section defines acronyms related to Payment Card Industry Point to Point Encryption standards.,Review and familiarize staff with the defined acronyms used in PCI P2PE guidelines.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,33,Payment Card Industry -PIN Transaction Security,,Guidance on PIN transaction security measures related to payment card industry standards.,Review and implement necessary security measures for PIN transactions as per PCI standards.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,34,Personal Identification Number,,The section addresses the definition and relevance of Personal Identification Numbers (PINs) in compliance contexts.,Establish and document policies regarding the issuance and management of PINs.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,35,Public Key Infrastructure,,This section describes the relevance of Public Key Infrastructure within regulatory compliance frameworks.,Familiarize your team with PKI concepts and related compliance requirements.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,36,Point of Sale,,"This section lacks specific details, making it necessary to review acronyms related to Point of Sale.",Research and document relevant acronyms applicable to Point of Sale.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,37,Penetration Testing,,Organizations must conduct penetration testing to assess security vulnerabilities.,Schedule and perform penetration testing within the next quarter.,2025-08-25,annual,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,38,Regulated Entities,,This section outlines definitions of acronyms used in regulatory documents.,Review and understand included acronyms for compliance documentation.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,39,Subscriber Identification Module,,The section discusses the Subscriber Identification Module but lacks detailed requirements.,Review Subscriber Identification Module guidelines and assess current compliance status.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,40,Standard Operating Procedure,,This section outlines the need for a formal standard operating procedure that is currently not specified.,Develop and implement a standard operating procedure document.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,41,Structured Query Language,,This section defines the Structured Query Language and its purpose in database management.,Familiarize relevant staff with SQL standards and practices.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,42,Secure Socket Layer,,This section details the Secure Socket Layer (SSL) protocol for securing internet communications.,Ensure SSL certificates are implemented for all web services.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,43,Transport Layer Security,,N/A,N/A,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,44,Unique Key Per Terminal,,"The section titled ""Unique Key Per Terminal"" lacks specific content to evaluate requirements.",Review organizational protocols for unique key assignments.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,45,Universal Serial Bus,,Overview of Universal Serial Bus (USB) specifications and definitions.,Review and familiarize staff with USB standards and their impact on IT systems.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,46,Vulnerability Assessment,,A vulnerability assessment is crucial for identifying security weaknesses.,Conduct a comprehensive vulnerability assessment across all networks and systems.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,47,Virtual Payment Address,,Organizations must comply with Virtual Payment Address regulations outlined in the chapter.,Review and implement necessary procedures for Virtual Payment Address compliance.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,Appendix I - Acronyms,48,Web Application Firewall,,Web application firewalls (WAFs) are essential for protecting applications from web threats.,Install and configure a WAF to safeguard web applications.,N/A,N/A,No,Not Started,
